sample ID	forward sequence count
S10-V5-Q-B61-calc	5957
S16S17-V5-K1-G12-root	5788
S20S21-V5-M-B61-root	5516
S8-V5-O-G12-calc	5362
S16S17-V5-K2-G12-root	5272
S18S19-V5-L-B17-root	4955
S22S23-V5-N-B78-root	4695
S14-V5-P-B17-calc	4491
S15-V5-R-B78-calc	4212
