	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296
count	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	9999.0	9999.0	9999.0	9999.0	9999.0	9999.0	9999.0	9999.0	9999.0	9999.0	9999.0	9999.0	9998.0	9998.0	9998.0	9998.0	9998.0	9998.0	9998.0	9998.0	9998.0	9998.0	9998.0	9998.0	9998.0	9998.0	9998.0	9997.0	9997.0	9997.0	9996.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9995.0	9994.0	9993.0	9991.0	9991.0	9989.0	9988.0	9988.0	9986.0	9986.0	9983.0	9977.0	9972.0	9953.0	9809.0	9652.0	8669.0	8070.0	5759.0	4160.0	2444.0	1493.0	1141.0	902.0	740.0	635.0	527.0	449.0	400.0	344.0	305.0	270.0	235.0	218.0	188.0	175.0	160.0	148.0	134.0	123.0	110.0	104.0	96.0	90.0	82.0	76.0	70.0	66.0	64.0	60.0	57.0	55.0	48.0	46.0	45.0	43.0	42.0	40.0	39.0	36.0	35.0	35.0	32.0	30.0	27.0	26.0	26.0	25.0	24.0	23.0	22.0	22.0	22.0	21.0	21.0	20.0	18.0	18.0	17.0	17.0	16.0	15.0	15.0	14.0	14.0	12.0	12.0	12.0	10.0	8.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0
2%	34.0	32.0	31.0	31.0	31.0	32.0	32.0	28.0	25.0	19.0	16.0	16.0	16.0	16.0	19.0	18.0	22.0	23.0	21.0	20.0	18.980000000000018	18.0	14.0	14.0	14.0	22.0	24.0	19.0	13.0	13.0	14.0	14.0	15.0	18.0	18.0	20.0	20.0	21.0	27.0	27.0	25.0	24.0	23.0	22.0	23.0	24.0	24.0	21.0	19.0	14.0	14.0	13.0	13.0	15.0	15.0	17.0	17.0	15.0	14.0	14.0	14.0	16.0	17.0	18.0	17.0	17.0	16.0	17.0	17.0	18.0	19.0	19.0	16.0	16.0	16.0	16.0	17.0	18.0	18.0	18.0	19.0	19.0	18.0	18.0	17.0	16.0	14.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	11.0	11.0	11.0	11.0	11.0	12.0	12.0	12.0	12.0	13.0	13.0	14.0	15.0	15.0	16.0	15.0	16.0	16.0	16.0	15.0	15.0	14.0	13.879999999999995	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	14.0	14.0	14.0	15.0	16.0	15.0	15.0	14.0	13.879999999999995	13.0	13.0	13.0	14.0	14.0	14.0	14.0	15.0	15.0	15.0	16.0	16.0	16.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	15.0	14.0	14.0	14.0	14.0	14.0	14.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.74	3.74	11.32	11.0	3.3	3.3600000000000003	0.0	3.12	0.0	2.86	0.0	0.0	0.0	1.6800000000000002	12.24	13.12	13.48	12.24	10.24	10.24	10.24	10.24	12.48	11.12	1.3199999999999998	2.4	0.0	1.76	13.18	13.18	16.3	21.42	21.36	19.12	16.06	16.0	11.2	0.44	0.44	0.48	0.44	0.56	0.48	0.44	0.44	0.44	0.68	13.12	18.26	28.14	28.1	29.02	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9%	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	35.0	27.0	21.0	21.0	21.0	25.0	28.0	27.0	30.0	30.0	29.0	29.0	28.0	27.0	21.0	21.0	21.0	31.0	32.0	27.0	19.0	19.0	19.0	20.0	25.0	27.0	27.0	31.0	32.0	32.0	35.0	35.0	33.0	33.0	32.0	32.0	32.0	32.0	32.0	30.0	27.0	20.0	19.0	19.0	19.0	24.0	24.0	27.0	27.0	21.0	21.0	21.0	22.0	26.0	27.0	28.0	27.0	27.0	26.0	26.0	26.0	29.0	30.0	29.0	26.0	26.0	25.0	27.0	28.0	28.0	29.0	30.0	29.0	28.0	28.0	28.0	27.0	26.0	24.0	22.0	21.0	20.0	19.0	19.0	18.0	19.0	19.0	19.0	18.0	18.0	17.0	16.0	16.0	16.0	16.0	17.0	18.0	20.0	21.0	23.0	24.0	25.0	26.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	26.0	25.0	23.0	22.0	21.0	21.0	21.0	21.0	23.0	24.0	25.0	26.0	26.0	27.0	27.0	27.0	28.0	28.0	28.0	27.0	26.0	24.0	22.0	21.0	21.0	22.0	23.0	25.0	26.0	26.0	26.0	26.0	27.0	27.0	28.0	29.0	30.0	30.0	30.0	30.0	29.0	29.0	28.0	27.0	27.0	27.0	27.0	26.0	25.0	24.0	23.0	23.0	22.0	22.0	23.0	24.0	27.0	27.0	28.0	24.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6600000000000006	0.0	0.0	0.0	3.7399999999999984	11.0	11.0	11.0	0.7699999999999982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	11.0	12.0	11.44	11.0	12.0	3.12	12.17	1.8699999999999992	12.87	0.0	0.0	0.0	7.5600000000000005	13.08	13.54	15.16	13.08	11.08	11.08	11.08	11.08	14.16	11.54	5.94	10.8	0.0	7.92	13.81	13.81	17.35	22.89	22.62	19.54	16.27	16.0	11.9	1.98	1.98	2.16	1.98	2.52	2.16	1.98	1.98	1.98	3.06	13.54	19.17	28.63	28.45	29.09	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25%	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	34.0	30.0	30.0	30.0	36.0	39.0	39.0	39.0	39.0	39.0	38.0	38.0	38.0	31.0	31.0	31.75	39.0	40.0	38.0	29.0	29.0	29.0	31.0	37.0	38.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	38.0	26.0	26.0	26.0	26.0	32.0	33.75	37.0	37.0	32.0	32.0	32.0	33.0	37.0	38.0	39.0	38.0	38.0	37.0	37.0	37.0	39.0	40.0	39.0	38.0	38.0	37.0	38.0	39.0	39.0	40.0	40.0	39.0	39.0	39.0	39.0	38.0	38.0	36.0	34.0	33.0	31.0	30.0	30.0	30.0	31.0	32.0	30.0	30.0	30.0	27.0	26.0	26.0	26.0	27.0	29.0	30.0	32.0	33.0	35.0	37.0	38.0	38.0	38.0	38.0	39.0	39.0	38.0	38.0	38.0	38.0	36.0	34.0	33.0	31.0	30.0	32.0	33.0	34.0	36.0	37.0	38.0	38.0	38.0	39.0	39.0	39.0	39.0	39.0	38.0	37.0	35.0	34.0	33.0	33.0	33.0	34.0	36.0	38.0	38.0	37.0	37.0	37.5	38.0	38.0	39.0	40.0	40.0	40.0	39.0	39.0	38.0	38.0	38.0	37.0	36.0	35.0	35.0	34.0	34.0	33.0	33.0	32.0	32.0	34.0	35.0	38.0	39.0	40.0	39.0	38.0	28.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.75	2.75	11.0	2.75	11.25	8.25	11.0	11.0	5.5	8.25	11.0	11.0	11.0	12.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.25	12.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.75	12.25	12.25	12.0	12.0	12.0	14.0	14.0	17.5	13.0	17.75	13.25	13.25	11.75	12.75	16.0	16.0	18.5	15.5	13.0	18.0	17.5	17.0	18.5	16.5	16.5	21.0	6.25	22.0	15.25	15.25	19.75	26.25	25.5	20.5	16.75	16.0	13.5	5.5	5.5	6.0	5.5	7.0	6.0	5.5	5.5	5.5	8.5	14.5	21.25	29.75	29.25	29.25	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50%	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	38.0	38.0	38.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	39.0	39.0	40.0	40.0	40.0	34.0	34.0	34.0	34.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	32.0	32.0	31.0	31.0	40.0	40.0	40.0	40.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	39.0	39.0	40.0	40.0	40.0	40.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	39.0	39.0	39.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	39.0	39.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	39.0	39.0	39.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	31.0	19.0	18.0	13.0	13.0	14.0	12.0	13.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	13.0	13.0	13.0	13.0	12.0	12.5	12.0	12.5	13.0	13.5	13.5	16.0	12.0	13.0	13.0	13.0	13.0	13.0	16.0	16.0	16.5	13.0	13.0	13.0	14.0	13.0	13.0	12.5	13.0	13.0	13.5	14.0	13.0	13.0	13.0	13.0	14.5	14.0	16.0	15.0	16.5	17.5	15.0	15.0	14.0	19.0	20.0	22.0	19.5	25.0	24.5	21.0	19.5	17.5	21.0	21.0	29.0	27.0	27.0	27.0	32.0	22.0	22.0	22.0	22.0	22.0	25.5	24.0	24.0	24.0	26.5	30.0	27.5	24.0	22.0	24.0	16.0	11.0	11.0	12.0	11.0	14.0	12.0	11.0	11.0	11.0	17.0	16.0	24.5	31.5	30.5	29.5	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75%	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	39.0	39.0	40.0	40.0	40.0	39.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	34.0	34.0	34.0	34.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	37.0	35.0	30.0	28.0	28.0	23.0	24.0	22.0	21.0	21.0	20.0	19.5	19.0	20.0	20.0	21.25	20.25	19.0	18.0	19.0	20.0	20.25	22.75	22.75	19.25	20.75	22.75	21.5	21.25	20.0	21.5	23.0	22.0	22.0	24.0	27.0	28.0	25.0	24.75	27.0	24.0	17.75	18.75	18.0	20.25	18.0	18.0	16.5	16.5	18.75	21.25	19.0	17.0	22.0	21.25	24.25	23.75	23.0	23.0	24.0	23.0	24.0	28.75	29.5	29.75	32.0	32.25	30.0	26.5	32.0	31.5	37.5	38.0	38.5	38.0	35.0	25.0	22.5	22.5	28.0	28.0	30.5	33.0	33.5	33.5	34.0	34.0	31.0	30.25	30.25	34.0	20.5	11.0	11.0	13.0	12.5	15.0	13.0	11.5	11.5	11.5	20.0	17.5	27.75	33.25	31.75	29.75	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91%	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	39.0	39.0	40.0	40.0	40.0	39.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	34.0	34.0	34.0	34.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	36.0	35.68000000000001	33.0	30.129999999999995	30.0	28.0	28.0	28.0	30.0	28.0	28.0	28.0	27.0	28.08000000000004	31.189999999999998	30.0	30.0	29.0	29.710000000000008	28.25	28.0	28.15	28.66000000000001	30.0	28.96	30.0	29.0	28.950000000000003	31.04	32.22	33.55000000000001	34.45000000000001	38.0	38.85	38.88	39.94	34.260000000000005	34.34	34.66	34.5	31.75	31.84	30.93	31.04	33.66	33.33	33.0	33.0	33.0	30.869999999999997	34.230000000000004	34.230000000000004	36.120000000000005	33.24	38.3	37.22	30.48	30.0	31.83	32.04	33.06	39.01	39.19	37.74	39.46	38.92	38.92	38.92	39.46	38.92	37.3	31.9	30.82	30.82	35.68	35.68	33.65	34.28	36.38	36.38	37.84	37.84	36.76	36.49	36.49	37.84	23.38	11.0	11.0	13.64	13.46	15.64	13.64	11.82	11.82	11.82	21.92	18.46	29.830000000000002	34.37	32.55	29.91	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98%	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	39.0	39.0	40.0	40.0	40.0	39.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	39.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	37.0	35.0	34.24000000000001	33.639999999999986	32.66	33.25999999999999	34.0	34.81999999999999	35.120000000000005	37.0	38.0	37.0	37.0	36.099999999999994	36.22	35.379999999999995	35.0	35.48000000000002	34.09999999999999	36.480000000000004	34.46	32.879999999999995	32.92	32.06	31.200000000000003	34.59999999999999	39.0	39.18	39.22	40.0	40.0	40.0	40.0	40.0	39.42	39.480000000000004	39.5	37.5	36.64	36.31999999999999	36.91999999999999	39.58	38.31999999999999	34.739999999999995	34.800000000000004	34.800000000000004	34.86	39.66	39.66	38.36	37.72	39.7	38.72	31.72	30.740000000000002	32.74	35.12	37.67999999999999	39.78	39.82	38.72	39.88	39.76	39.76	39.76	39.88	39.76	39.4	38.199999999999996	37.96	37.96	39.04	39.04	34.7	34.84	37.64	37.64	39.519999999999996	39.519999999999996	39.28	39.22	39.22	39.519999999999996	24.64	11.0	11.0	13.92	13.879999999999999	15.92	13.92	11.96	11.96	11.96	22.759999999999998	18.88	30.74	34.86	32.9	29.98	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
