	Feature ID	S10-V5-Q-B61-calc	S14-V5-P-B17-calc	S15-V5-R-B78-calc	S16S17-V5-K1-G12-root	S16S17-V5-K2-G12-root	S18S19-V5-L-B17-root	S20S21-V5-M-B61-root	S22S23-V5-N-B78-root	S8-V5-O-G12-calc	Taxon
26	32bf1d7bfbcfbc693a6307d12dab2423	87.0	199.0	13.0	0.0	0.0	0.0	0.0	0.0	55.0	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Staphylococcales; f__Gemellaceae; g__Gemella
27	ef223441c8b1ab15ae5dd7a4f0f93ff1	0.0	344.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522
28	0a29824bb5726f176667c3e928dc9c2f	168.0	175.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae
29	b9aacc9da3e8abd74be8b064920795bb	78.0	174.0	20.0	0.0	0.0	0.0	0.0	0.0	31.0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Filifactoraceae_235894; g__Peptoanaerobacter; s__Eubacterium yurii
30	59853012c4917d69e9ab2f6b1916afb1	0.0	0.0	0.0	154.0	147.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_501396; f__Rhizobiaceae_A_499470
31	51b185377dde3ffe63b1452c94dd51e8	0.0	0.0	0.0	0.0	0.0	26.0	267.0	0.0	0.0	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__GWC2-71-9; g__Palsa-1233; s__
32	9931fc4a3f73eb0b3982e7d5bf005f2a	0.0	0.0	0.0	0.0	0.0	0.0	287.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__SCUD01; s__
33	81f691a5907a77f95803ca349f859bf8	0.0	0.0	0.0	134.0	105.0	47.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes_D; c__Bacilli
34	9b1fb3fb30da41e1b6c4209f601c2197	80.0	109.0	32.0	0.0	0.0	0.0	0.0	0.0	58.0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae
35	f9219ae5a905cee4ae5c96610c139aad	0.0	74.0	0.0	0.0	0.0	135.0	0.0	0.0	61.0	d__Bacteria
36	453a8279ad9ff5cd59237d105298b2d3	9.0	0.0	0.0	61.0	53.0	0.0	67.0	72.0	0.0	d__Bacteria; p__Nitrospirota_A_437815; c__Nitrospiria; o__Nitrospirales; f__Nitrospiraceae; g__Palsa-1315
