Feature ID	Taxon	Confidence
a30b24a1a8470d185fe851e43aac8b56	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Flavobacteriaceae	0.9970782840590812
b25bbf5411fdb4852cd8fa50aa72b6f6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_595422; f__Burkholderiaceae_A_595422	0.997378743618569
ea481f629be4cf9a04ae86311c675003	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_501396; f__Rhizobiaceae_A_499470	0.9990263739734699
a4d9ad681b76206e3bebb99e14353a7f	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Agromyces_B_382064	0.863154072791871
956f429027fe8c2bd44bc5945dafd7ad	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504723; f__Aestuariivirgaceae	0.7251801233734887
f171f695e67dafdfa3bc4ea45e48c453	d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae_409200; g__Flexilinea; s__Flexilinea sp902786265	0.9996634736703994
e82c9093693e7629e694f7ef9d6989f6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_650611; f__Pseudomonadaceae	0.9943959732406703
c23f09b909a3082dfc2f2dbdbc7664bd	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__RUG754; s__RUG754 sp900315895	0.8177498218542847
7835aaf22fccec0558496fbc82288e5a	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__Hornefia	0.9960755220258231
b09eb9b712d8da895f0dbee427a1a591	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales	0.7853577379157183
268562fb503bfa543ee47c17177b20f9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae	0.9811819985679026
9e8dfc218e84015bb40185d42281a9ee	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales_613062; f__Rhodanobacteraceae_613062	0.9978532110718835
246c20fb68ba6b42199de278e7238a86	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Christensenellales; f__CAG-74; g__SFMI01	0.7605341141153216
8447f0839cf75085a94fab291be9be80	d__Archaea; p__Methanobacteriota_A_1229; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter_A	0.982974238050397
f1714a6cfaaa481ce548a9608b1812a3	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__Eubacterium_N; s__Eubacterium_N saphenum	0.9817994074979178
4d0fd138c382a0f1eaea469cd16b8a14	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae; g__F0058	0.8335520040333937
e73ebe1899f20b762cab0e5a85f513de	d__Bacteria; p__Desulfobacterota_I; c__Desulfobulbia; o__Desulfobulbales; f__Desulfobulbaceae; g__Desulfobulbus_A_451156; s__Desulfobulbus_A_451156 oralis	0.8906995370230244
2ecc26fa38d0f81cfd44270ae78aed8f	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_302584	0.8558939485702228
07dae3ddceb57eb29048bd82c77d9228	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Tissierellales; f__Peptoniphilaceae; g__Parvimonas; s__Parvimonas micra	0.8936144430941145
753adcffab1789e51335b16c46a8120f	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.9074759635801293
add01eb7e5d5bf540fa1bf359c938531	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Flavobacteriaceae; g__Capnocytophaga_820690; s__Capnocytophaga gingivalis	0.8394033265659719
38944b76c90c1642a3577f1ccc8cedd7	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Pauljensenia	0.9853466412385339
d56eb106101d763952845800113671b6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae_900466; g__Chryseolinea; s__	0.9982728583970859
3f2e1626e5bb88d914bba1488f893cc8	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.8176978219301158
019e4a461da508a5fc9520942fff7ba7	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_595422; f__Burkholderiaceae_A_595422; g__Castellaniella	0.8664735231668157
d49410cd15c32cbad6a830a55eba5493	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Abiotrophia; s__Abiotrophia defectiva	0.858870595846846
b64ec5485bab068975098b3f0e58492d	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.8209854230639981
8ab324690443855f8f1bef18d50ffe43	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_597441; f__Neisseriaceae_563222; g__Neisseria_563205	0.8067603885203091
eba18f1e9ef53eff7c582811875a64aa	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__Moranbacterales; f__DUUL01; g__DUUL01; s__DUUL01 sp012841575	0.9866833084807813
e7a665fae46b47c8a18315340ba9caf4	d__Bacteria	0.99792165941909
16df3d6ba4d2a0f063a3dfeb73ca9df9	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia_401430; o__Acidimicrobiales	0.8660227422054259
4a31178c7f986d6f6addf49355becf95	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales; f__Kribbellaceae; g__Kribbella	0.8784864477081644
7cfad00ab36fd86f5c4df5e4b03aeb32	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales_616009; f__Xanthomonadaceae_616009	0.997819597960678
f63ef0ab1cac2137e9dfb7e7074e31cd	d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Thermomicrobiales; f__; g__; s__	0.739506054538986
32b3e68ff3145fd0d4d05562a120bc91	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__Hornefia	0.9956152633676109
48fe23708ca139962c6d6f8298307524	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_597441; f__Neisseriaceae_563222; g__Neisseria_563205	0.9147303213363361
233fcf59f7a19d42db8b243e0b9aa35c	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae	0.8466444136756843
59ea8a9f2766b530d6e9bfb051ea3ec7	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522	0.9903065181304763
485739d31a097a4ad6bf92a49897d02c	d__Bacteria	0.9982323698411236
a9e24f83bc596ce23500f23aec15ca39	d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Arcobacteraceae; g__Aliarcobacter	0.9716496113461226
5cf8b1a7879de1254fe554d14e881cde	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504721; f__Hyphomicrobiaceae	0.8828912014780971
1fcf2316ac1d02fb2c8812d9c28261f1	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae	0.9722533792018743
ffdad2142cb81512aad0aead76c8a40b	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__TH1-2	0.9994583290018374
5336f563a5fedc6cd0063b4eea61faed	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522	0.9961846440480947
c47458a6dc729b3897ff33c0d9bc8a86	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_597433; f__SG8-39; g__SCGC-AG-212-J23; s__SCGC-AG-212-J23 sp005881595	0.9933474084964579
9e7c4cb763c43e91bcd54849f3031a7d	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	0.9909182028439428
b1bed50a045a72aa77f8aad0ae664272	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Weeksellaceae	0.9933213387871719
4c3db820bb39f4e9978f4f99626d2ecc	d__Bacteria; p__Chloroflexota; c__Limnocylindria; o__Limnocylindrales; f__CSP1-4; g__GWC2-73-18; s__	0.9907244875325192
a045a35edbc85814dd7cf4fd347ce3b5	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Dongiales; f__Dongiaceae; g__SYSU-D60009; s__SYSU-D60009 sp003574735	0.8543541110228883
c37f6296fc3d73cbe8d3d11728b07d2b	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Pseudonocardiaceae	0.8668391543685655
cc2692db4986358269269b37f7a643e3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae_900466; g__Ohtaekwangia; s__Ohtaekwangia flava	0.8228731217054756
33a4aa5476927727eaca03bfe55aef8c	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Albibacterium	0.878073066930312
ddace2de973ff426029ce68eebdff587	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Selenomonadales; f__Selenomonadaceae_42771; g__Centipeda	0.9937998771730723
516500a7a7f80c573b7e86a75f9102c0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504721; f__Methyloligellaceae; g__Methyloceanibacter	0.9755286037636675
1809ca8d94c9de6f602a4eacf7f6ce7f	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Flavobacteriaceae; g__Capnocytophaga_820690; s__Capnocytophaga granulosa	0.77590734270117
978f17cb6fb8298cc04e26e849d0e0fd	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.997075672602835
2d9b0ca521f76d711b1282aebda5aa42	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__GWC2-71-9; g__HRBIN33; s__	0.9167835532553877
746c5fc7fff07e6e580bfb4fedb91fdc	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales	0.8059748203973697
6f8e401f2bbe49af777524a85987d61f	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A	0.9995637635432795
5a55766eb8920820629137071ac517d8	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Tissierellales; f__Sporanaerobacteraceae; g__Anaerosalibacter	0.9654812885929768
c111fe2e769ab434d1d5abf3715a8d7a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae_966727	0.9999365853790326
